Buy Price (Avg Price ($/kWh) from energyonline.com - year 2020 - CAISO),Sell Price (0.8 * Avg Price ($/kWh)),Emissions (lb CO2e/kWh) from WattTime for 2020 - Civic Center @ SF,Demand Charge
2.83E-02,2.26E-02,0.874530591,14.71
2.31E-02,1.85E-02,0.806773207,14.71
2.33E-02,1.86E-02,0.80446308,14.71
1.94E-02,1.56E-02,0.740412447,14.71
2.16E-02,1.73E-02,0.757200422,14.71
-9.78E-06,-7.82E-06,0.748900318,14.71
1.22E-03,9.74E-04,0.75953953,14.71
0.00E+00,0.00E+00,0.876995726,14.71
2.27E-02,1.82E-02,1.025123932,14.71
2.55E-02,2.04E-02,1.022129274,14.71
3.19E-02,2.55E-02,1.028439103,14.71
3.17E-02,2.53E-02,1.012195513,14.71
3.22E-02,2.57E-02,1.007793803,14.71
3.19E-02,2.55E-02,1.004451923,14.71
3.56E-02,2.85E-02,1.008069444,14.71
2.77E-02,2.22E-02,1.011544872,14.71
2.26E-02,1.81E-02,1.009183544,14.71
2.62E-02,2.09E-02,0.993132911,14.71
2.30E-02,1.84E-02,1.00360443,14.71
2.25E-02,1.80E-02,0.998005274,14.71
1.99E-02,1.60E-02,1.00246097,14.71
2.21E-02,1.77E-02,0.985623418,14.71
2.75E-02,2.20E-02,0.98606962,14.71
3.69E-02,2.95E-02,0.971659283,14.71
2.76E-02,2.21E-02,0.874530591,14.71
2.56E-02,2.05E-02,0.806773207,14.71
3.09E-02,2.47E-02,0.80446308,14.71
2.20E-02,1.76E-02,0.740412447,14.71
2.43E-02,1.94E-02,0.757200422,14.71
2.23E-02,1.78E-02,0.748900318,14.71
2.66E-02,2.13E-02,0.75953953,14.71
3.85E-02,3.08E-02,0.876995726,14.71
2.69E-02,2.15E-02,1.025123932,14.71
2.91E-02,2.33E-02,1.022129274,14.71
2.84E-02,2.27E-02,1.028439103,14.71
3.08E-02,2.46E-02,1.012195513,14.71
3.20E-02,2.56E-02,1.007793803,14.71
3.14E-02,2.51E-02,1.004451923,14.71
2.96E-02,2.37E-02,1.008069444,14.71
3.14E-02,2.51E-02,1.011544872,14.71
2.49E-02,1.99E-02,1.009183544,14.71
2.09E-02,1.68E-02,0.993132911,14.71
1.89E-02,1.51E-02,1.00360443,14.71
1.83E-02,1.47E-02,0.998005274,14.71
1.92E-02,1.54E-02,1.00246097,14.71
1.77E-02,1.42E-02,0.985623418,14.71
1.70E-02,1.36E-02,0.98606962,14.71
3.89E-02,3.11E-02,0.971659283,14.71
3.58E-02,2.86E-02,0.874530591,14.71
2.79E-02,2.23E-02,0.806773207,14.71
3.09E-02,2.47E-02,0.80446308,14.71
2.06E-02,1.65E-02,0.740412447,14.71
2.14E-02,1.71E-02,0.757200422,14.71
1.87E-02,1.50E-02,0.748900318,14.71
2.18E-02,1.74E-02,0.75953953,14.71
2.82E-03,2.26E-03,0.876995726,14.71
2.35E-02,1.88E-02,1.025123932,14.71
2.84E-02,2.27E-02,1.022129274,14.71
2.92E-02,2.34E-02,1.028439103,14.71
4.01E-02,3.21E-02,1.012195513,14.71
5.68E-02,4.54E-02,1.007793803,14.71
1.34E-01,1.07E-01,1.004451923,14.71
4.73E-02,3.78E-02,1.008069444,14.71
4.27E-02,3.41E-02,1.011544872,14.71
2.96E-02,2.36E-02,1.009183544,14.71
2.63E-02,2.11E-02,0.993132911,14.71
2.54E-02,2.04E-02,1.00360443,14.71
2.20E-02,1.76E-02,0.998005274,14.71
2.39E-02,1.91E-02,1.00246097,14.71
2.16E-02,1.72E-02,0.985623418,14.71
2.67E-02,2.13E-02,0.98606962,14.71
3.85E-02,3.08E-02,0.971659283,14.71
3.68E-02,2.94E-02,0.874530591,14.71
2.68E-02,2.14E-02,0.806773207,14.71
3.77E-02,3.02E-02,0.80446308,14.71
2.16E-02,1.73E-02,0.740412447,14.71
2.17E-02,1.74E-02,0.757200422,14.71
1.46E-02,1.17E-02,0.748900318,14.71
2.93E-02,2.35E-02,0.75953953,14.71
2.29E-02,1.83E-02,0.876995726,14.71
2.82E-02,2.26E-02,1.025123932,14.71
3.23E-02,2.58E-02,1.022129274,14.71
3.91E-02,3.13E-02,1.028439103,14.71
6.66E-02,5.33E-02,1.012195513,14.71
4.86E-02,3.89E-02,1.007793803,14.71
1.59E-01,1.27E-01,1.004451923,14.71
4.33E-02,3.46E-02,1.008069444,14.71
3.87E-02,3.10E-02,1.011544872,14.71
3.95E-02,3.16E-02,1.009183544,14.71
2.37E-02,1.90E-02,0.993132911,14.71
2.89E-02,2.31E-02,1.00360443,14.71
3.74E-02,2.99E-02,0.998005274,14.71
2.68E-02,2.14E-02,1.00246097,14.71
2.34E-02,1.88E-02,0.985623418,14.71
3.08E-02,2.46E-02,0.98606962,14.71
6.18E-02,4.94E-02,0.971659283,14.71
2.92E-02,2.34E-02,0.874530591,14.71
2.75E-02,2.20E-02,0.806773207,14.71
2.72E-02,2.17E-02,0.80446308,14.71
2.42E-02,1.94E-02,0.740412447,14.71
2.45E-02,1.96E-02,0.757200422,14.71
-1.02E-05,-8.16E-06,0.748900318,14.71
2.34E-02,1.87E-02,0.75953953,14.71
-9.68E-06,-7.74E-06,0.876995726,14.71
2.87E-02,2.29E-02,1.025123932,14.71
3.18E-02,2.55E-02,1.022129274,14.71
3.61E-02,2.89E-02,1.028439103,14.71
3.62E-02,2.90E-02,1.012195513,14.71
3.55E-02,2.84E-02,1.007793803,14.71
3.50E-02,2.80E-02,1.004451923,14.71
3.24E-02,2.59E-02,1.008069444,14.71
2.74E-02,2.20E-02,1.011544872,14.71
2.36E-02,1.89E-02,1.004808824,14.71
2.41E-02,1.93E-02,0.99004902,14.71
2.28E-02,1.83E-02,1.005607843,14.71
1.96E-02,1.56E-02,0.989661765,14.71
1.98E-02,1.58E-02,0.995026961,14.71
2.32E-02,1.86E-02,0.992482843,14.71
2.35E-02,1.88E-02,0.962571078,14.71
2.77E-02,2.22E-02,0.970875,14.71
2.10E-02,1.68E-02,0.715156863,14.71
-1.08E-05,-8.63E-06,0.648191176,14.71
-1.03E-05,-8.22E-06,0.569409314,14.71
3.26E-03,2.61E-03,0.512012255,14.71
3.14E-03,2.51E-03,0.485404412,14.71
-9.82E-03,-7.86E-03,0.487818627,14.71
3.43E-03,2.74E-03,0.600122549,14.71
8.19E-03,6.55E-03,0.752848039,14.71
2.52E-02,2.02E-02,1.012801471,14.71
3.12E-02,2.50E-02,1.009134804,14.71
2.45E-02,1.96E-02,1.018747549,14.71
2.66E-02,2.13E-02,1.007112745,14.71
2.66E-02,2.13E-02,1.00982598,14.71
2.85E-02,2.28E-02,1.012615196,14.71
2.39E-02,1.92E-02,1.008960784,14.71
2.37E-02,1.90E-02,1.005705882,14.71
2.48E-02,1.98E-02,1.004808824,14.71
3.01E-02,2.41E-02,0.99004902,14.71
2.88E-02,2.30E-02,1.005607843,14.71
2.70E-02,2.16E-02,0.989661765,14.71
2.07E-02,1.65E-02,0.995026961,14.71
2.37E-02,1.90E-02,0.992482843,14.71
2.35E-02,1.88E-02,0.962571078,14.71
2.67E-02,2.14E-02,0.970875,14.71
2.00E-02,1.60E-02,0.715156863,14.71
1.70E-02,1.36E-02,0.648191176,14.71
9.03E-03,7.22E-03,0.569409314,14.71
6.51E-03,5.21E-03,0.512012255,14.71
-1.04E-05,-8.31E-06,0.485404412,14.71
7.08E-03,5.66E-03,0.487818627,14.71
6.00E-03,4.80E-03,0.600122549,14.71
-1.05E-05,-8.39E-06,0.752848039,14.71
1.86E-02,1.49E-02,1.012801471,14.71
2.70E-02,2.16E-02,1.009134804,14.71
2.75E-02,2.20E-02,1.018747549,14.71
2.73E-02,2.18E-02,1.007112745,14.71
2.89E-02,2.31E-02,1.00982598,14.71
3.01E-02,2.41E-02,1.012615196,14.71
2.86E-02,2.29E-02,1.008960784,14.71
2.75E-02,2.20E-02,1.005705882,14.71
1.99E-02,1.59E-02,1.009183544,14.71
1.95E-02,1.56E-02,0.993132911,14.71
1.88E-02,1.51E-02,1.00360443,14.71
1.77E-02,1.42E-02,0.998005274,14.71
1.87E-02,1.50E-02,1.00246097,14.71
1.81E-02,1.45E-02,0.985623418,14.71
2.41E-02,1.93E-02,0.98606962,14.71
3.27E-02,2.62E-02,0.971659283,14.71
3.69E-02,2.95E-02,0.874530591,14.71
2.10E-02,1.68E-02,0.806773207,14.71
1.09E-02,8.73E-03,0.80446308,14.71
2.49E-02,1.99E-02,0.740412447,14.71
1.92E-02,1.54E-02,0.757200422,14.71
1.80E-02,1.44E-02,0.748900318,14.71
8.35E-03,6.68E-03,0.75953953,14.71
1.95E-02,1.56E-02,0.876995726,14.71
2.61E-02,2.09E-02,1.025123932,14.71
3.40E-02,2.72E-02,1.022129274,14.71
4.31E-02,3.45E-02,1.028439103,14.71
4.00E-02,3.20E-02,1.012195513,14.71
3.85E-02,3.08E-02,1.007793803,14.71
3.46E-02,2.77E-02,1.004451923,14.71
3.30E-02,2.64E-02,1.008069444,14.71
2.74E-02,2.19E-02,1.011544872,14.71
2.85E-02,2.28E-02,1.009183544,14.71
2.86E-02,2.29E-02,0.993132911,14.71
2.53E-02,2.03E-02,1.00360443,14.71
2.46E-02,1.97E-02,0.998005274,14.71
2.21E-02,1.77E-02,1.00246097,14.71
2.43E-02,1.94E-02,0.985623418,14.71
3.34E-02,2.67E-02,0.98606962,14.71
4.03E-02,3.22E-02,0.971659283,14.71
2.97E-02,2.38E-02,0.874530591,14.71
1.50E-02,1.20E-02,0.806773207,14.71
2.14E-02,1.71E-02,0.80446308,14.71
3.56E-03,2.85E-03,0.740412447,14.71
1.62E-02,1.29E-02,0.757200422,14.71
1.44E-02,1.16E-02,0.748900318,14.71
4.76E-03,3.81E-03,0.75953953,14.71
3.90E-03,3.12E-03,0.876995726,14.71
1.93E-02,1.54E-02,1.025123932,14.71
2.64E-02,2.12E-02,1.022129274,14.71
2.98E-02,2.38E-02,1.028439103,14.71
3.00E-02,2.40E-02,1.012195513,14.71
3.75E-02,3.00E-02,1.007793803,14.71
4.17E-02,3.33E-02,1.004451923,14.71
2.97E-02,2.37E-02,1.008069444,14.71
2.82E-02,2.26E-02,1.011544872,14.71
2.27E-02,1.81E-02,1.009183544,14.71
2.25E-02,1.80E-02,0.993132911,14.71
2.22E-02,1.78E-02,1.00360443,14.71
2.20E-02,1.76E-02,0.998005274,14.71
2.29E-02,1.83E-02,1.00246097,14.71
2.30E-02,1.84E-02,0.985623418,14.71
2.99E-02,2.39E-02,0.98606962,14.71
9.31E-02,7.45E-02,0.971659283,14.71
3.74E-02,2.99E-02,0.874530591,14.71
2.26E-02,1.80E-02,0.806773207,14.71
2.82E-02,2.26E-02,0.80446308,14.71
2.02E-02,1.62E-02,0.740412447,14.71
2.17E-02,1.74E-02,0.757200422,14.71
2.15E-02,1.72E-02,0.748900318,14.71
1.93E-02,1.54E-02,0.75953953,14.71
2.18E-02,1.74E-02,0.876995726,14.71
2.31E-02,1.85E-02,1.025123932,14.71
3.26E-02,2.61E-02,1.022129274,14.71
3.53E-02,2.83E-02,1.028439103,14.71
4.09E-02,3.27E-02,1.012195513,14.71
4.29E-02,3.43E-02,1.007793803,14.71
3.85E-02,3.08E-02,1.004451923,14.71
3.81E-02,3.04E-02,1.008069444,14.71
3.00E-02,2.40E-02,1.011544872,14.71
2.37E-02,1.90E-02,1.009183544,14.71
2.27E-02,1.82E-02,0.993132911,14.71
2.35E-02,1.88E-02,1.00360443,14.71
2.30E-02,1.84E-02,0.998005274,14.71
2.30E-02,1.84E-02,1.00246097,14.71
1.98E-02,1.58E-02,0.985623418,14.71
2.23E-02,1.78E-02,0.98606962,14.71
4.45E-02,3.56E-02,0.971659283,14.71
3.11E-02,2.49E-02,0.874530591,14.71
1.98E-02,1.58E-02,0.806773207,14.71
2.44E-02,1.95E-02,0.80446308,14.71
2.16E-02,1.73E-02,0.740412447,14.71
2.88E-02,2.30E-02,0.757200422,14.71
1.06E-02,8.44E-03,0.748900318,14.71
2.02E-02,1.61E-02,0.75953953,14.71
2.19E-02,1.75E-02,0.876995726,14.71
3.09E-02,2.47E-02,1.025123932,14.71
2.91E-02,2.33E-02,1.022129274,14.71
2.70E-02,2.16E-02,1.028439103,14.71
2.95E-02,2.36E-02,1.012195513,14.71
3.28E-02,2.62E-02,1.007793803,14.71
3.62E-02,2.90E-02,1.004451923,14.71
2.78E-02,2.23E-02,1.008069444,14.71
2.12E-02,1.69E-02,1.011544872,14.71
9.87E-06,7.90E-06,1.009183544,14.71
2.47E-02,1.98E-02,0.993132911,14.71
1.71E-02,1.37E-02,1.00360443,14.71
2.05E-02,1.64E-02,0.998005274,14.71
